Surface reelle bati,Nombre pieces principales,Type local,Nombre de lots,Valeur fonciere,No voie,Type de voie,Voie,Code postal,Commune,prix_m2,adresse_complete,latitude,longitude
52.0,1.0,Appartement,3,"220000,00",24.0,RUE,DU QUAI,59800.0,LILLE,4230.769230769231,"24 RUE DU QUAI, 59800 LILLE",50.655617,3.0578178
52.0,2.0,Appartement,1,"274850,00",2.0,RUE,DU LIEUTENANT COLPIN,59800.0,LILLE,5285.576923076923,"2 RUE DU LIEUTENANT COLPIN, 59800 LILLE",50.6427174,3.0551434
35.0,1.0,Appartement,1,"146000,00",28.0,RUE,BOILEUX,59800.0,LILLE,4171.428571428572,"28 RUE BOILEUX, 59800 LILLE",50.6348334,3.0535853
13.0,1.0,Appartement,1,"71880,00",34.0,RUE,DES STATIONS,59800.0,LILLE,5529.2307692307695,"34 RUE DES STATIONS, 59800 LILLE",50.6308728,3.0518027
35.0,2.0,Appartement,1,"185500,00",4.0,RUE,BAPTISTE MONNOYER,59000.0,LILLE,5300.0,"4 RUE BAPTISTE MONNOYER, 59000 LILLE",50.6312682,3.0643992
69.0,3.0,Appartement,1,"236500,00",2.0,ALL,DES FILEUSES,59260.0,LILLE,3427.536231884058,"2 ALL DES FILEUSES, 59260 LILLE",50.6294917,3.1049202
45.0,2.0,Appartement,3,"285900,00",78.0,RUE,BOUCHER DE PERTHES,59800.0,LILLE,6353.333333333333,"78 RUE BOUCHER DE PERTHES, 59800 LILLE",50.6332197,3.05417
50.0,2.0,Appartement,1,"155150,00",94.0,RUE,JULES GUESDE,59000.0,LILLE,3103.0,"94 RUE JULES GUESDE, 59000 LILLE",50.6227675,3.0508648
52.0,3.0,Appartement,2,"132000,00",53.0,RUE,DE VALENCIENNES,59000.0,LILLE,2538.4615384615386,"53 RUE DE VALENCIENNES, 59000 LILLE",50.6232357,3.0750571
68.0,2.0,Appartement,2,"365350,00",87.0,RUE,ESQUERMOISE,59800.0,LILLE,5372.794117647059,"87 RUE ESQUERMOISE, 59800 LILLE",50.6385295,3.0598519
71.0,4.0,Appartement,2,"242000,00",25.0,AV,DU PRESIDENT KENNEDY,59800.0,LILLE,3408.450704225352,"25 AV DU PRESIDENT KENNEDY, 59800 LILLE",50.6436535,3.1081483
116.0,4.0,Appartement,1,"491780,00",43.0,RUE,HENRI KOLB,59000.0,LILLE,4239.482758620689,"43 RUE HENRI KOLB, 59000 LILLE",50.6282026,3.0562168
62.0,3.0,Appartement,1,"210000,00",49.0,RUE,DE LA LOUVIERE,59800.0,LILLE,3387.0967741935483,"49 RUE DE LA LOUVIERE, 59800 LILLE",50.6442047,3.0843864
94.0,4.0,Appartement,1,"420000,00",122.0,RUE,DE LA LOUVIERE,59800.0,LILLE,4468.085106382979,"122 RUE DE LA LOUVIERE, 59800 LILLE",50.646428,3.085897
20.0,1.0,Appartement,1,"78000,00",118.0,BD,VICTOR HUGO,59000.0,LILLE,3900.0,"118 BD VICTOR HUGO, 59000 LILLE",50.6219524,3.0602751
31.0,1.0,Appartement,1,"205000,00",94.0,RUE,LEON GAMBETTA,59000.0,LILLE,6612.903225806452,"94 RUE LEON GAMBETTA, 59000 LILLE",50.6304886,3.057009
27.0,1.0,Appartement,1,"99000,00",52.0,RUE,CAUMARTIN,59000.0,LILLE,3666.6666666666665,"52 RUE CAUMARTIN, 59000 LILLE",50.6255555,3.0590736
55.0,2.0,Appartement,1,"200000,00",21.0,BD,DE LA MOSELLE,59000.0,LILLE,3636.363636363637,"21 BD DE LA MOSELLE, 59000 LILLE",50.6284513,3.0331852
40.0,2.0,Appartement,2,"261350,00",140.0,RUE,DU GUET,59800.0,LILLE,6533.75,"140 RUE DU GUET, 59800 LILLE",50.6480557,3.0565215
18.0,1.0,Appartement,1,"75800,00",140.0,RUE,D IENA,59000.0,LILLE,4211.111111111111,"140 RUE D IENA, 59000 LILLE",50.6209483,3.0431097
100.0,4.0,Appartement,1,"302500,00",3.0,RUE,JEAN WALTER,59000.0,LILLE,3025.0,"3 RUE JEAN WALTER, 59000 LILLE",50.6124048,3.0390076
45.0,2.0,Appartement,1,"130000,00",4.0,RUE,DU BLEU MOUTON,59800.0,LILLE,2888.8888888888887,"4 RUE DU BLEU MOUTON, 59800 LILLE",50.6331694,3.063907
33.0,2.0,Appartement,1,"137000,00",30.0,RUE,BONTE POLLET,59000.0,LILLE,4151.515151515152,"30 RUE BONTE POLLET, 59000 LILLE",50.6253374,3.0339882
29.0,1.0,Appartement,1,"133500,00",145.0,AV,WILLY BRANDT,59777.0,LILLE,4603.448275862069,"145 AV WILLY BRANDT, 59777 LILLE",50.6369569,3.0731528
40.0,2.0,Appartement,1,"163000,00",153.0,RUE,DE LA BASSEE,59000.0,LILLE,4075.0,"153 RUE DE LA BASSEE, 59000 LILLE",50.6243912,3.0329847
38.0,2.0,Appartement,1,"123500,00",2.0,RUE,FARADAY,59800.0,LILLE,3250.0,"2 RUE FARADAY, 59800 LILLE",50.6495949,3.0931563
110.0,4.0,Appartement,2,"344000,00",15.0,BD,BIGO DANEL,59000.0,LILLE,3127.2727272727275,"15 BD BIGO DANEL, 59000 LILLE",50.6272865,3.0416378
